City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sur,OM,2021-10-14 18:01:05,22.5667,59.5289,80.78,51,0,0.85
68,Codrington,AU,2021-10-14 18:01:05,-38.2667,141.9667,47.37,87,80,6.33
69,Los Llanos De Aridane,ES,2021-10-14 18:01:06,28.6585,-17.9182,71.35,87,20,10.36
70,Viedma,AR,2021-10-14 18:00:30,-40.8135,-62.9967,61.05,18,96,22.73
71,Ostrovnoy,RU,2021-10-14 18:01:06,68.0531,39.5131,34.83,79,17,17.02
72,Mataura,NZ,2021-10-14 18:01:07,-46.1927,168.8643,40.91,87,88,3.18
73,Port Alfred,ZA,2021-10-14 18:01:07,-33.5906,26.891,62.92,71,79,11.16
74,Sao Filipe,CV,2021-10-14 18:01:08,14.8961,-24.4956,78.71,74,50,11.52
75,Kungurtug,RU,2021-10-14 18:01:08,50.5994,97.5228,15.55,85,32,1.83
76,Romanovo,RU,2021-10-14 18:01:08,52.6182,81.2271,36.32,84,70,8.01
77,Salalah,OM,2021-10-14 17:59:06,17.0151,54.0924,80.91,64,96,2.68
78,Cape Town,ZA,2021-10-14 17:58:40,-33.9258,18.4232,60.28,77,75,1.99
79,Port Augusta,AU,2021-10-14 18:01:09,-32.5,137.7667,51.71,73,28,18.61
80,Thompson,CA,2021-10-14 18:01:10,55.7435,-97.8558,38.25,93,100,10.58
81,Saint-Philippe,RE,2021-10-14 18:01:10,-21.3585,55.7679,72.99,84,37,10.04
82,Cherskiy,RU,2021-10-14 18:01:11,68.75,161.3,-6.48,100,82,5.12
83,Bambous Virieux,MU,2021-10-14 18:01:11,-20.3428,57.7575,72.21,76,12,12.82
84,Kruisfontein,ZA,2021-10-14 18:01:11,-34.0033,24.7314,58.89,78,100,3.4
85,Redlands,US,2021-10-14 17:58:13,34.0556,-117.1825,75.78,26,0,1.01
86,Miguel Hidalgo,MX,2021-10-14 18:01:12,19.4225,-99.2028,75.58,40,37,4.0
87,Puerto Ayora,EC,2021-10-14 18:01:12,-0.7393,-90.3518,71.53,69,96,9.53
88,Ustka,PL,2021-10-14 18:01:13,54.5805,16.8619,53.53,85,100,16.15
89,Waupun,US,2021-10-14 18:01:13,43.6333,-88.7296,64.2,44,84,15.08
90,Aklavik,CA,2021-10-14 18:01:13,68.2191,-135.0107,30.2,93,90,5.75
91,Kosovo Polje,XK,2021-10-14 18:01:14,42.6394,21.0961,40.96,87,75,13.0
92,Upernavik,GL,2021-10-14 18:01:15,72.7868,-56.1549,33.26,83,100,10.8
93,Hithadhoo,MV,2021-10-14 18:01:15,-0.6,73.0833,82.94,77,100,23.73
94,Dobrinka,RU,2021-10-14 18:01:15,52.1653,40.4731,45.86,79,98,19.1
95,Nanortalik,GL,2021-10-14 18:01:16,60.1432,-45.2371,40.64,76,35,7.16
96,Narsaq,GL,2021-10-14 18:01:16,60.9167,-46.05,37.62,54,47,1.97
97,Muros,ES,2021-10-14 18:01:17,42.7762,-9.0603,70.3,62,96,0.47
98,Urengoy,RU,2021-10-14 18:01:17,65.9667,78.3667,37.69,95,100,16.4
99,Havelock,US,2021-10-14 18:01:18,34.8791,-76.9013,82.98,71,13,4.0
100,Gurkovo,BG,2021-10-14 18:01:18,42.6667,25.8,50.54,93,100,6.55
101,Talnakh,RU,2021-10-14 18:01:18,69.4865,88.3972,23.97,94,100,20.47
102,Lake Havasu City,US,2021-10-14 18:01:19,34.4839,-114.3224,73.11,24,1,1.99
103,Poum,NC,2021-10-14 18:01:19,-20.2333,164.0167,73.94,77,64,14.76
104,Sungai Petani,MY,2021-10-14 18:01:20,5.647,100.4877,84.07,89,82,1.52
105,Dikson,RU,2021-10-14 18:01:20,73.5069,80.5464,32.65,99,100,15.35
106,Campeni,RO,2021-10-14 18:01:20,46.3667,23.05,38.12,87,99,2.17
107,Kaifeng,CN,2021-10-14 18:01:21,34.7911,114.3483,59.18,92,100,7.2
108,Adrar,MR,2021-10-14 18:01:21,20.5022,-10.0711,93.92,8,2,6.46
109,Coquimbo,CL,2021-10-14 17:59:11,-29.9533,-71.3436,67.73,55,0,16.11
110,Kpalime,TG,2021-10-14 18:01:22,6.9,0.6333,78.55,80,53,2.89
111,Smoky Lake,CA,2021-10-14 18:01:22,54.1169,-112.4686,46.49,49,67,6.42
112,Kapaa,US,2021-10-14 18:01:22,22.0752,-159.319,77.18,75,59,3.0
113,Busselton,AU,2021-10-14 18:01:23,-33.65,115.3333,53.04,80,13,12.97
114,Makakilo City,US,2021-10-14 18:01:23,21.3469,-158.0858,73.69,77,64,17.96
115,Beringovskiy,RU,2021-10-14 18:01:24,63.05,179.3167,17.96,83,42,10.94
116,Sinjar,IQ,2021-10-14 18:01:24,36.3209,41.8754,78.71,30,3,1.99
117,Pinega,RU,2021-10-14 18:01:25,64.7001,43.3936,41.13,85,100,5.86
118,Torbay,CA,2021-10-14 18:01:25,47.6666,-52.7314,50.29,91,100,5.01
119,Chuy,UY,2021-10-14 18:01:26,-33.6971,-53.4616,71.01,79,62,4.5
120,Yeppoon,AU,2021-10-14 18:01:26,-23.1333,150.7333,73.18,94,40,5.99
121,Pisco,PE,2021-10-14 18:01:26,-13.7,-76.2167,66.02,76,44,8.48
122,Luderitz,NA,2021-10-14 18:01:27,-26.6481,15.1594,59.04,80,3,13.56
123,Barrow,US,2021-10-14 18:01:27,71.2906,-156.7887,28.42,80,90,23.02
124,Bubaque,GW,2021-10-14 18:01:27,11.2833,-15.8333,84.67,65,79,9.95
125,Prainha,BR,2021-10-14 18:01:28,-1.8,-53.48,98.4,31,33,5.66
126,Soledade,BR,2021-10-14 18:01:28,-28.8183,-52.5103,69.13,89,100,7.74
127,Naro-Fominsk,RU,2021-10-14 18:01:29,55.3875,36.7331,46.08,93,100,8.77
128,Paamiut,GL,2021-10-14 18:01:29,61.994,-49.6678,38.79,74,73,11.54
129,Saint-Georges,GD,2021-10-14 18:01:29,12.0564,-61.7485,84.4,73,17,11.63
130,Pa Sang,TH,2021-10-14 18:01:30,18.5262,98.9394,77.31,88,100,2.71
131,Atbasar,KZ,2021-10-14 18:01:30,51.8,68.3333,44.83,72,0,7.2
132,Marquette,US,2021-10-14 18:01:30,46.5333,-87.6335,65.82,56,83,12.17
133,Moses Lake,US,2021-10-14 18:01:31,47.1301,-119.2781,50.18,50,61,3.76
134,Vaini,TO,2021-10-14 18:01:31,-21.2,-175.2,74.64,67,28,9.95
135,Eugene,US,2021-10-14 17:57:11,44.0521,-123.0867,53.11,90,90,1.01
136,Talara,PE,2021-10-14 18:01:32,-4.5772,-81.2719,69.55,73,31,14.81
137,Hit,IQ,2021-10-14 18:01:32,33.6416,42.8251,86.45,22,34,6.24
138,Bocaiuva,BR,2021-10-14 18:01:32,-17.1078,-43.815,84.15,49,87,6.51
139,Balkanabat,TM,2021-10-14 18:01:33,39.5108,54.3671,70.2,22,90,3.58
140,Bathsheba,BB,2021-10-14 18:01:33,13.2167,-59.5167,83.93,75,85,13.6
141,Ahipara,NZ,2021-10-14 18:01:34,-35.1667,173.1667,47.41,83,1,4.05
142,Middelkerke,BE,2021-10-14 18:01:34,51.1558,2.8418,58.01,86,75,10.36
143,Hamadan,IR,2021-10-14 18:01:34,34.7992,48.5146,62.04,34,45,3.44
144,Barreirinha,BR,2021-10-14 18:01:35,-2.7933,-57.07,103.48,24,77,4.0
145,Awbari,LY,2021-10-14 18:01:35,26.5921,12.7805,79.52,22,7,8.75
146,Ascension,US,2021-10-14 18:01:35,30.2169,-90.9001,90.05,64,1,9.22
147,Sungaipenuh,ID,2021-10-14 18:01:36,-2.0833,101.3833,65.25,96,100,0.76
148,Nome,US,2021-10-14 18:01:36,64.5011,-165.4064,28.17,95,99,3.74
149,Chapais,CA,2021-10-14 18:01:36,49.7834,-74.8492,65.84,76,100,3.22
150,Nouadhibou,MR,2021-10-14 18:01:37,20.931,-17.0347,70.25,82,44,22.73
151,Sapa,PH,2021-10-14 18:01:37,5.1544,120.3241,81.93,77,79,2.48
152,Berlevag,NO,2021-10-14 18:01:38,70.8578,29.0864,33.75,69,0,18.41
153,Alamogordo,US,2021-10-14 18:01:38,32.8995,-105.9603,70.95,24,1,3.0
154,Tuktoyaktuk,CA,2021-10-14 18:01:39,69.4541,-133.0374,29.1,93,100,7.94
155,Santa Isabel Do Rio Negro,BR,2021-10-14 18:01:39,-0.4139,-65.0192,99.79,34,6,3.89
156,Cotacachi,EC,2021-10-14 18:01:39,0.3,-78.2667,70.2,60,38,5.5
157,Lytkarino,RU,2021-10-14 18:01:40,55.5814,37.9058,46.09,90,75,2.24
158,Ribeira Grande,PT,2021-10-14 18:01:40,38.5167,-28.7,72.0,94,75,23.02
159,Lavrentiya,RU,2021-10-14 18:01:41,65.5833,-171.0,30.29,79,100,14.2
160,Crestview,US,2021-10-14 18:01:41,30.7621,-86.5705,89.96,58,97,3.0
161,Port-Gentil,GA,2021-10-14 18:01:41,-0.7193,8.7815,78.66,85,54,11.7
162,Tuatapere,NZ,2021-10-14 18:01:42,-46.1333,167.6833,38.52,93,58,3.71
163,Tucuman,AR,2021-10-14 18:00:17,-26.8241,-65.2226,94.68,23,0,8.19
164,Ponta Do Sol,PT,2021-10-14 18:01:42,32.6667,-17.1,74.03,70,27,1.41
165,Havre-Saint-Pierre,CA,2021-10-14 18:01:43,50.2334,-63.5986,55.44,78,66,1.81
166,Ilam,NP,2021-10-14 18:01:43,26.9167,87.9167,68.59,75,8,6.13
167,Davidson,US,2021-10-14 18:01:43,36.1501,-86.7833,85.12,61,94,4.0
168,Saint-Joseph,RE,2021-10-14 18:01:44,-21.3667,55.6167,71.98,83,42,9.17
169,Avera,US,2021-10-14 18:01:44,33.194,-82.5271,82.94,53,67,2.44
170,Mezen,RU,2021-10-14 18:01:45,65.8522,44.24,36.9,95,62,5.37
171,Gat,IL,2021-10-14 18:01:45,31.61,34.7642,78.4,62,42,11.83
172,Fortuna,US,2021-10-14 18:01:45,40.5982,-124.1573,60.19,71,1,1.99
173,Huarmey,PE,2021-10-14 18:01:46,-10.0681,-78.1522,69.01,70,69,9.69
174,Shelburne,CA,2021-10-14 18:01:46,44.0787,-80.2041,68.76,80,98,11.43
175,Bandarbeyla,SO,2021-10-14 18:01:47,9.4942,50.8122,79.68,82,81,6.91
176,Yabelo,ET,2021-10-14 18:01:47,4.8833,38.0833,64.36,63,93,6.93
177,Santa Lucia,ES,2021-10-14 18:01:48,27.9117,-15.5407,67.77,63,20,23.02
178,Waitati,NZ,2021-10-14 18:01:48,-45.75,170.5667,48.79,64,35,5.14
179,Huadian,CN,2021-10-14 18:01:49,42.9633,126.7478,45.5,79,100,2.46
180,Asau,RO,2021-10-14 18:01:49,46.4333,26.4,44.4,93,100,2.21
181,Cloquet,US,2021-10-14 18:01:50,46.7216,-92.4594,49.87,92,100,1.99
182,Muscat,OM,2021-10-14 18:00:08,23.6139,58.5922,85.69,38,0,2.39
183,Khatanga,RU,2021-10-14 18:01:50,71.9667,102.5,11.16,82,100,9.8
184,El Alto,PE,2021-10-14 18:01:51,-4.2714,-81.2147,70.74,68,53,11.21
185,Lianran,CN,2021-10-14 18:01:51,24.9227,102.485,57.96,95,100,5.55
186,Kisangani,CD,2021-10-14 18:00:24,0.5167,25.2,75.09,81,67,1.77
187,Drayton Valley,CA,2021-10-14 18:01:52,53.2168,-114.9854,38.91,48,6,6.76
188,Dingle,PH,2021-10-14 18:01:52,10.9995,122.6711,76.98,91,100,1.23
189,Coahuayana,MX,2021-10-14 18:01:52,18.7333,-103.6833,88.92,59,0,4.9
190,Oum Hadjer,TD,2021-10-14 18:00:27,13.2954,19.6966,80.24,65,80,12.55
191,Saint-Raymond,CA,2021-10-14 18:01:53,45.467,-73.6095,71.19,86,90,3.44
192,Roald,NO,2021-10-14 18:01:53,62.5833,6.1333,49.91,93,90,13.8
193,Namibe,AO,2021-10-14 18:01:54,-15.1961,12.1522,66.58,85,11,11.27
194,Andros Town,BS,2021-10-14 18:01:54,24.7,-77.7667,84.65,63,7,9.98
195,La Cruz,MX,2021-10-14 18:01:55,23.9167,-106.9,84.06,66,4,3.09
196,Victoria,HK,2021-10-14 18:01:55,22.2855,114.1577,82.33,85,100,1.99
197,Yambio,SS,2021-10-14 18:01:56,4.5721,28.3955,68.95,95,92,4.03
198,Homer,US,2021-10-14 18:01:56,59.6425,-151.5483,37.29,89,90,3.44
199,Pierre,US,2021-10-14 18:00:32,44.3683,-100.351,52.86,59,11,1.01
200,Ugoofaaru,MV,2021-10-14 18:01:56,5.6667,73.0,82.49,81,98,23.09
201,San Cristobal,VE,2021-10-14 18:01:57,7.7669,-72.225,87.08,47,100,4.07
202,San Patricio,US,2021-10-14 18:01:57,28.017,-97.5169,79.21,66,81,10.94
203,Guerrero Negro,MX,2021-10-14 18:01:58,27.9769,-114.0611,73.67,43,0,2.77
204,Boa Vista,BR,2021-10-14 18:00:45,2.8197,-60.6733,93.18,43,40,4.61
205,Altay,CN,2021-10-14 18:01:58,47.8667,88.1167,33.93,40,16,8.95
206,Yulara,AU,2021-10-14 18:01:59,-25.2406,130.9889,52.86,41,0,9.44
207,Celestun,MX,2021-10-14 18:01:59,20.8667,-90.4,87.22,58,53,8.25
208,Pevek,RU,2021-10-14 18:02:00,69.7008,170.3133,18.7,91,100,2.57
209,Souillac,MU,2021-10-14 18:01:05,-20.5167,57.5167,72.36,79,6,11.7
210,Jamestown,US,2021-10-14 18:02:00,42.097,-79.2353,78.12,68,1,5.75
211,Sundargarh,IN,2021-10-14 18:02:00,22.1167,84.0333,77.32,87,97,2.64
212,Kavaratti,IN,2021-10-14 18:02:01,10.5669,72.642,81.93,83,90,12.53
213,Kodiak,US,2021-10-14 18:00:41,57.79,-152.4072,39.11,66,2,26.82
214,Merauke,ID,2021-10-14 18:01:11,-8.4667,140.3333,77.02,85,97,2.13
215,Fort Nelson,CA,2021-10-14 18:02:02,58.8053,-122.7002,42.93,51,68,2.26
216,Tual,ID,2021-10-14 18:02:03,-5.6667,132.75,83.43,68,88,3.31
217,Mamlyutka,KZ,2021-10-14 18:02:03,54.9375,68.5394,45.18,71,0,2.95
